bus,time,powerCB,solarPowToB,gridPowToB,mainPowToB,eB
0,39,0.0,0.0,0.0,0.0,460.8224651084232
1,39,0.0,0.0,0.0,0.0,236.49999999999716
2,39,75.0,75.0,0.0,0.0,498.75
3,39,75.0,75.0,0.0,0.0,538.1239404249288
4,39,20.53302674814097,20.53302674814097,0.0,0.0,359.03010712866023
5,39,0.0,0.0,0.0,0.0,445.4999999999988
6,39,0.0,0.0,0.0,0.0,354.2999999999974
7,39,0.0,0.0,0.0,0.0,548.4833573207372
8,39,0.0,0.0,0.0,0.0,445.49999999999795
9,39,0.0,0.0,0.0,0.0,345.09999999999815
0,40,0.0,0.0,0.0,0.0,460.8224651084232
1,40,0.0,0.0,0.0,0.0,236.49999999999716
2,40,75.0,75.0,0.0,0.0,516.375
3,40,75.0,75.0,0.0,0.0,555.7489404249288
4,40,40.81589020002792,40.81589020002792,0.0,0.0,363.85536841447333
5,40,0.0,0.0,0.0,0.0,445.4999999999988
6,40,0.0,0.0,0.0,0.0,354.2999999999974
7,40,0.0,0.0,0.0,0.0,548.4833573207372
8,40,0.0,0.0,0.0,0.0,445.49999999999795
9,40,0.0,0.0,0.0,0.0,345.09999999999815
0,41,0.0,0.0,0.0,0.0,460.8224651084232
1,41,0.0,0.0,0.0,0.0,236.49999999999716
2,41,75.0,75.0,0.0,0.0,534.0
3,41,75.0,75.0,0.0,0.0,573.3739404249288
4,41,40.81589020002792,40.81589020002792,0.0,0.0,373.4471026114799
5,41,0.0,0.0,0.0,0.0,445.4999999999988
6,41,0.0,0.0,0.0,0.0,354.2999999999974
7,41,0.0,0.0,0.0,0.0,548.4833573207372
8,41,0.0,0.0,0.0,0.0,445.49999999999795
9,41,0.0,0.0,0.0,0.0,345.09999999999815
0,42,0.0,0.0,0.0,0.0,460.8224651084232
1,42,0.0,0.0,0.0,0.0,236.49999999999716
2,42,75.0,75.0,0.0,0.0,551.625
3,42,75.0,75.0,0.0,0.0,590.9989404249288
4,42,57.7927816348157,57.7927816348157,0.0,0.0,383.0388368084865
5,42,0.0,0.0,0.0,0.0,445.4999999999988
6,42,0.0,0.0,0.0,0.0,354.2999999999974
7,42,0.0,0.0,0.0,0.0,548.4833573207372
8,42,0.0,0.0,0.0,0.0,445.49999999999795
9,42,0.0,0.0,0.0,0.0,345.09999999999815
0,43,0.0,0.0,0.0,0.0,460.8224651084232
1,43,75.0,75.0,0.0,0.0,236.49999999999716
2,43,75.0,75.0,0.0,0.0,569.25
3,43,0.0,0.0,0.0,0.0,608.6239404249288
4,43,57.7927816348157,57.7927816348157,0.0,0.0,396.62014049266816
5,43,0.0,0.0,0.0,0.0,445.4999999999988
6,43,0.0,0.0,0.0,0.0,354.2999999999974
7,43,0.0,0.0,0.0,0.0,548.4833573207372
8,43,0.0,0.0,0.0,0.0,445.49999999999795
9,43,0.0,0.0,0.0,0.0,345.09999999999815
0,44,0.0,0.0,0.0,0.0,460.8224651084232
1,44,71.12967416467762,71.12967416467762,0.0,0.0,254.12499999999716
2,44,75.0,75.0,0.0,0.0,586.875
3,44,0.0,0.0,0.0,0.0,608.6239404249288
4,44,75.0,75.0,0.0,0.0,410.20144417684986
5,44,0.0,0.0,0.0,0.0,445.4999999999988
6,44,0.0,0.0,0.0,0.0,354.2999999999974
7,44,0.0,0.0,0.0,0.0,548.4833573207372
8,44,0.0,0.0,0.0,0.0,445.49999999999795
9,44,0.0,0.0,0.0,0.0,345.09999999999815
0,45,0.0,0.0,0.0,0.0,460.8224651084232
1,45,75.0,75.0,0.0,0.0,270.8404734286963
2,45,75.0,75.0,0.0,0.0,604.5
3,45,0.0,0.0,0.0,0.0,608.6239404249288
4,45,71.12967416467762,71.12967416467762,0.0,0.0,427.82644417685
5,45,0.0,0.0,0.0,0.0,445.49999999999886
6,45,0.0,0.0,0.0,0.0,354.2999999999974
7,45,0.0,0.0,0.0,0.0,548.4833573207372
8,45,0.0,0.0,0.0,0.0,445.49999999999795
9,45,0.0,0.0,0.0,0.0,345.09999999999815
0,46,0.0,0.0,0.0,0.0,460.8224651084232
1,46,75.0,75.0,0.0,0.0,288.4654734286963
2,46,75.0,75.0,0.0,0.0,622.125
3,46,0.0,0.0,0.0,0.0,608.6239404249288
4,46,75.0,75.0,0.0,0.0,444.5419176055492
5,46,0.0,0.0,0.0,0.0,445.49999999999886
6,46,0.0,0.0,0.0,0.0,354.2999999999974
7,46,0.0,0.0,0.0,0.0,548.4833573207372
8,46,0.0,0.0,0.0,0.0,445.49999999999795
9,46,0.0,0.0,0.0,0.0,345.09999999999815
0,47,0.0,0.0,0.0,0.0,460.8224651084232
1,47,75.0,75.0,0.0,0.0,306.0904734286963
2,47,75.0,75.0,0.0,0.0,639.75
3,47,0.0,0.0,0.0,0.0,608.6239404249288
4,47,75.0,75.0,0.0,0.0,462.1669176055492
5,47,0.0,0.0,0.0,0.0,445.49999999999886
6,47,0.0,0.0,0.0,0.0,354.2999999999974
7,47,0.0,0.0,0.0,0.0,548.4833573207372
8,47,0.0,0.0,0.0,0.0,445.49999999999795
9,47,0.0,0.0,0.0,0.0,345.09999999999815
0,48,0.0,0.0,0.0,0.0,460.8224651084232
1,48,75.0,75.0,0.0,0.0,323.7154734286963
2,48,75.0,75.0,0.0,0.0,657.375
3,48,0.0,0.0,0.0,0.0,608.6239404249288
4,48,75.0,75.0,0.0,0.0,479.7919176055492
5,48,0.0,0.0,0.0,0.0,445.49999999999886
6,48,0.0,0.0,0.0,0.0,354.2999999999974
7,48,0.0,0.0,0.0,0.0,548.4833573207372
8,48,0.0,0.0,0.0,0.0,445.49999999999795
9,48,0.0,0.0,0.0,0.0,345.09999999999815
0,49,0.0,0.0,0.0,0.0,460.8224651084232
1,49,75.0,75.0,0.0,0.0,341.3404734286963
2,49,0.0,0.0,0.0,0.0,675.0
3,49,0.0,0.0,0.0,0.0,608.6239404249288
4,49,75.0,75.0,0.0,0.0,497.4169176055492
5,49,75.0,75.0,0.0,0.0,445.49999999999886
6,49,0.0,0.0,0.0,0.0,354.2999999999974
7,49,0.0,0.0,0.0,0.0,548.4833573207372
8,49,0.0,0.0,0.0,0.0,445.49999999999795
9,49,0.0,0.0,0.0,0.0,345.09999999999815
0,50,0.0,0.0,0.0,0.0,460.8224651084232
1,50,75.0,75.0,0.0,0.0,358.9654734286963
2,50,0.0,0.0,0.0,0.0,675.0
3,50,0.0,0.0,0.0,0.0,608.6239404249288
4,50,75.0,75.0,0.0,0.0,515.0419176055492
5,50,75.0,75.0,0.0,0.0,463.12499999999886
6,50,0.0,0.0,0.0,0.0,354.2999999999974
7,50,0.0,0.0,0.0,0.0,548.4833573207372
8,50,0.0,0.0,0.0,0.0,445.49999999999795
9,50,0.0,0.0,0.0,0.0,345.09999999999815
0,51,0.0,0.0,0.0,0.0,460.8224651084232
1,51,75.0,75.0,0.0,0.0,376.5904734286963
2,51,0.0,0.0,0.0,0.0,675.0
3,51,0.0,0.0,0.0,0.0,608.6239404249288
4,51,75.0,75.0,0.0,0.0,532.6669176055492
5,51,75.0,75.0,0.0,0.0,480.74999999999886
6,51,0.0,0.0,0.0,0.0,354.2999999999974
7,51,0.0,0.0,0.0,0.0,548.4833573207372
8,51,0.0,0.0,0.0,0.0,445.49999999999795
9,51,0.0,0.0,0.0,0.0,345.09999999999815
0,52,0.0,0.0,0.0,0.0,460.8224651084232
1,52,75.0,75.0,0.0,0.0,394.2154734286963
2,52,0.0,0.0,0.0,0.0,675.0
3,52,0.0,0.0,0.0,0.0,608.6239404249288
4,52,75.0,75.0,0.0,0.0,550.2919176055492
5,52,75.0,75.0,0.0,0.0,498.37499999999886
6,52,0.0,0.0,0.0,0.0,354.2999999999974
7,52,0.0,0.0,0.0,0.0,548.4833573207372
8,52,0.0,0.0,0.0,0.0,445.49999999999795
9,52,0.0,0.0,0.0,0.0,345.09999999999815
0,53,0.0,0.0,0.0,0.0,460.8224651084232
1,53,75.0,75.0,0.0,0.0,411.8404734286963
2,53,0.0,0.0,0.0,0.0,675.0
3,53,0.0,0.0,0.0,0.0,608.6239404249288
4,53,75.0,75.0,0.0,0.0,567.9169176055492
5,53,75.0,75.0,0.0,0.0,515.9999999999989
6,53,0.0,0.0,0.0,0.0,354.2999999999974
